"Proceso (IQS)","Subcriterio / paso","Señal observable (qué audita)","Tabla Databricks","Campo o tipo de evento","Grano","Suficiencia","Otras fuentes","Notas y riesgos","Fecha verificación","Responsable"
"Clasificación de la conversación","Tópico y subtópico","Campos multitópico correctos y completos según caso","(completar)","(completar)","Ticket / cambio de campo","(completar)","Hoja Tópicos y subtópicos","Macros que agregan subtópicos; feedback Doc&Comm si mapping incorrecto","",""
"Clasificación de la conversación","Naturaleza de la conversa","Naturalezas aplicables completas (multitópico)","(completar)","(completar)","Ticket / cambio de campo","(completar)","Hoja Tópicos y subtópicos","","",""
"Procesos Zendesk","Duplicates","Fusión de tickets duplicados cuando corresponde","(completar)","(completar)","Ticket / evento de fusión","(completar)","Panel IA Zendesk (referencia operativa)","Org/usuario incompleto afecta fusión ( guideline )","",""
"Procesos Zendesk","ID Usuario / Organización","Partner: ID + checkbox; org/usuario para fusiones","(completar)","(completar)","Ticket","(completar)","","Campos custom / checkbox según instancia Zendesk","",""
"Procesos Zendesk","Estado de la conversación","Pendiente vs Snoozed/Resuelto según jornada Guru","(completar)","(completar)","Ticket / historial estado","(completar)","","No usar Pendiente en bucle si respuesta completa","",""
"Procesos Zendesk","Derivaciones","Macro/equipo correcto por tópico; SLA interno","(completar)","(completar)","Ticket / asignación / grupo","(completar)","Planilla tópicos","Multitópico: derivar con macro por necesidad","",""
"Procesos Zendesk","Side conversation","Apertura/seguimiento/cierre; estado En espera; template","(completar)","(completar)","Ticket / side conv.","(completar)","Proceso interno / video","Verificar si eventos side conv. llegan al lake","",""
"Issues & Problems","Reporte +1 / checkboxes","Checkbox issues, número issue, macro si casillas llenas","(completar)","(completar)","Ticket","(completar)","GitHub issues","No asumir sync automático Zendesk–GitHub; validar en datos","",""
"Knowledge Base","Uso de materiales","Consulta KB/macros/procesos antes de responder","(completar)","(completar)","Mensaje / macro usada","(completar)","KB / macros Zendesk","Proxy difícil: suele requerir modelo o auditoría","",""
"Knowledge Base","Feedback","Reporte en #support-documentação-feedback-ar","(completar)","N/A típico en lake Zendesk","N/A (Slack)","(completar)","Slack","No suele estar en tablas Zendesk puras","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
