tabla_evento;columna;valores_distintos_listados
s__general__zendesk_assignment__event;assignment_type;4
s__general__zendesk_chats__event;actor_type;4
s__general__zendesk_interactions__event;interaction_type;2
s__general__zendesk_interactions__event;source;3
s__general__zendesk_macros_usage__event;macro_id;7066
s__general__zendesk_satisfaction_score__event;satisfaction_score;3
s__general__zendesk_ticket_nature__event;general_nature;7
s__general__zendesk_ticket_topics__event;main_topic_normalized;54
s__general__zendesk_ticket_topics__event;secondary_topic_normalized;381
s__general__zendesk_ticket_topics__event;subtopic_normalized;3203
s__general__zendesk_tickets_events__event;field_name;5
s__human__csat__event;csat_event_type;2
s__tech__ticket_custom_fields__event;field_name;2
s__tech__ticket_issue_problem__event;issue_problem_type;2
s__tech__ticket_subdomains__event;domain;3
